label,text_combined
0,"Quarterly Newsletter Released

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Wellbeing Check-In Survey

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/15891

Thank you,
IT Department"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"URGENT: Verify Your Account Immediately

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/92035

Thank you,
IT Department"
1,"Unauthorized Login Attempt Detected

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/42016

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Welcome Our New Team Member

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/56055

Thank you,
IT Department"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Security Notice: Confirm Identity

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/94148

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/15960

Thank you,
IT Department"
0,"Quarterly Newsletter Released

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/83177

Thank you,
IT Department"
1,"URGENT: Verify Your Account Immediately

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/80248

Thank you,
IT Department"
1,"Your Account Has Been Compromised

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/55012

Thank you,
IT Department"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/58333

Thank you,
IT Department"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Quarterly Newsletter Released

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Quarterly Newsletter Released

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/98421

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Unauthorized Login Attempt Detected

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/32948

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Quarterly Newsletter Released

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Action Needed: Reset Your Password

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/89587

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Your Account Has Been Compromised

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/91188

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Wellbeing Check-In Survey

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/55422

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Welcome Our New Team Member

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Your Account Has Been Compromised

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/38893

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Your Account Has Been Compromised

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/24384

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Welcome Our New Team Member

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Your Account Has Been Compromised

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/32078

Thank you,
IT Department"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/67499

Thank you,
IT Department"
0,"Welcome Our New Team Member

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Security Notice: Confirm Identity

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/95887

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/46119

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Wellbeing Check-In Survey

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/47406

Thank you,
IT Department"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/60820

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/88006

Thank you,
IT Department"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/44871

Thank you,
IT Department"
0,"Welcome Our New Team Member

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"URGENT: Verify Your Account Immediately

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/17633

Thank you,
IT Department"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/51998

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/42217

Thank you,
IT Department"
1,"Your Account Has Been Compromised

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/96420

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/68867

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Upcoming Staff Meeting on Monday

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Quarterly Newsletter Released

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/33333

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Quarterly Newsletter Released

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Your Account Has Been Compromised

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/82699

Thank you,
IT Department"
0,"Quarterly Newsletter Released

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/71794

Thank you,
IT Department"
1,"Your Account Has Been Compromised

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/86123

Thank you,
IT Department"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/86044

Thank you,
IT Department"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/96256

Thank you,
IT Department"
0,"Upcoming Staff Meeting on Monday

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Unauthorized Login Attempt Detected

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/14331

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/92813

Thank you,
IT Department"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/83596

Thank you,
IT Department"
0,"Quarterly Newsletter Released

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Wellbeing Check-In Survey

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Wellbeing Check-In Survey

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Your Account Has Been Compromised

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/71465

Thank you,
IT Department"
0,"Upcoming Staff Meeting on Monday

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"URGENT: Verify Your Account Immediately

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/36076

Thank you,
IT Department"
1,"Your Account Has Been Compromised

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/21510

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Security Notice: Confirm Identity

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/58814

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Quarterly Newsletter Released

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/86866

Thank you,
IT Department"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/49085

Thank you,
IT Department"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/84757

Thank you,
IT Department"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Unauthorized Login Attempt Detected

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/10496

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Wellbeing Check-In Survey

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Welcome Our New Team Member

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/30143

Thank you,
IT Department"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/81021

Thank you,
IT Department"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Your Account Has Been Compromised

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/41997

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Upcoming Staff Meeting on Monday

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Action Needed: Reset Your Password

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/84182

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Upcoming Staff Meeting on Monday

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Reminder: Submit Your Timesheets

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Your Account Has Been Compromised

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/75398

Thank you,
IT Department"
0,"Reminder: Submit Your Timesheets

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Action Needed: Reset Your Password

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/92836

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/36680

Thank you,
IT Department"
1,"Action Needed: Reset Your Password

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/21578

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/37785

Thank you,
IT Department"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/74779

Thank you,
IT Department"
1,"Action Needed: Reset Your Password

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/98745

Thank you,
IT Department"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/23145

Thank you,
IT Department"
0,"Upcoming Staff Meeting on Monday

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Upcoming Staff Meeting on Monday

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Security Notice: Confirm Identity

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/96735

Thank you,
IT Department"
0,"Welcome Our New Team Member

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Quarterly Newsletter Released

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Upcoming Staff Meeting on Monday

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Reminder: Submit Your Timesheets

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/73475

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/25010

Thank you,
IT Department"
0,"Quarterly Newsletter Released

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
0,"Reminder: Submit Your Timesheets

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"URGENT: Verify Your Account Immediately

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/74110

Thank you,
IT Department"
1,"Security Notice: Confirm Identity

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/75469

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Your Account Has Been Compromised

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/63324

Thank you,
IT Department"
0,"Reminder: Submit Your Timesheets

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"URGENT: Verify Your Account Immediately

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/72074

Failure to comply will result in account suspension.

Sincerely,
Security Team"
1,"Security Notice: Confirm Identity

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/95775

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Reminder: Submit Your Timesheets

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Wellbeing Check-In Survey

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Your Account Has Been Compromised

Dear user,

We've detected suspicious activity on your account. To protect your data, please verify your identity immediately.

Click here to verify: https://secure-verify.com/session/68480

Failure to comply will result in account suspension.

Sincerely,
Security Team"
0,"Upcoming Staff Meeting on Monday

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
0,"Reminder: Submit Your Timesheets

Hi team,

Just a friendly reminder to submit your timesheets before Friday. If you've already done so, no further action is needed.

Thanks,
Finance Ops"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/79869

Thank you,
IT Department"
0,"Quarterly Newsletter Released

Hello everyone,

Join us for the staff meeting next Monday at 10 AM in the main conference room. An invite has been sent to your calendar.

Best,
Office Manager"
1,"Unauthorized Login Attempt Detected

Hello,

You must reset your password to maintain access to your account.

Reset now: https://password-reset.com/reset/94620

Thank you,
IT Department"
